"Period","variable","value"
2016-06-06,"(Intercept)",152274.527747155
2016-06-13,"(Intercept)",152274.527747155
2016-06-20,"(Intercept)",152274.527747155
2016-06-27,"(Intercept)",152274.527747155
2016-07-04,"(Intercept)",152274.527747155
2016-07-11,"(Intercept)",152274.527747155
2016-07-18,"(Intercept)",152274.527747155
2016-07-25,"(Intercept)",152274.527747155
2016-08-01,"(Intercept)",152274.527747155
2016-08-08,"(Intercept)",152274.527747155
2016-08-15,"(Intercept)",152274.527747155
2016-08-22,"(Intercept)",152274.527747155
2016-08-29,"(Intercept)",152274.527747155
2016-09-05,"(Intercept)",152274.527747155
2016-09-12,"(Intercept)",152274.527747155
2016-09-19,"(Intercept)",152274.527747155
2016-09-26,"(Intercept)",152274.527747155
2016-10-03,"(Intercept)",152274.527747155
2016-10-10,"(Intercept)",152274.527747155
2016-10-17,"(Intercept)",152274.527747155
2016-10-24,"(Intercept)",152274.527747155
2016-10-31,"(Intercept)",152274.527747155
2016-11-07,"(Intercept)",152274.527747155
2016-11-14,"(Intercept)",152274.527747155
2016-11-21,"(Intercept)",152274.527747155
2016-11-28,"(Intercept)",152274.527747155
2016-12-05,"(Intercept)",152274.527747155
2016-12-12,"(Intercept)",152274.527747155
2016-12-19,"(Intercept)",152274.527747155
2016-12-26,"(Intercept)",152274.527747155
2017-01-02,"(Intercept)",152274.527747155
2017-01-09,"(Intercept)",152274.527747155
2017-01-16,"(Intercept)",152274.527747155
2017-01-23,"(Intercept)",152274.527747155
2017-01-30,"(Intercept)",152274.527747155
2017-02-06,"(Intercept)",152274.527747155
2017-02-13,"(Intercept)",152274.527747155
2017-02-20,"(Intercept)",152274.527747155
2017-02-27,"(Intercept)",152274.527747155
2017-03-06,"(Intercept)",152274.527747155
2017-03-13,"(Intercept)",152274.527747155
2017-03-20,"(Intercept)",152274.527747155
2017-03-27,"(Intercept)",152274.527747155
2017-04-03,"(Intercept)",152274.527747155
2017-04-10,"(Intercept)",152274.527747155
2017-04-17,"(Intercept)",152274.527747155
2017-04-24,"(Intercept)",152274.527747155
2017-05-01,"(Intercept)",152274.527747155
2017-05-08,"(Intercept)",152274.527747155
2017-05-15,"(Intercept)",152274.527747155
2017-05-22,"(Intercept)",152274.527747155
2017-05-29,"(Intercept)",152274.527747155
2017-06-05,"(Intercept)",152274.527747155
2017-06-12,"(Intercept)",152274.527747155
2017-06-19,"(Intercept)",152274.527747155
2017-06-26,"(Intercept)",152274.527747155
2017-07-03,"(Intercept)",152274.527747155
2017-07-10,"(Intercept)",152274.527747155
2017-07-17,"(Intercept)",152274.527747155
2017-07-24,"(Intercept)",152274.527747155
2017-07-31,"(Intercept)",152274.527747155
2017-08-07,"(Intercept)",152274.527747155
2017-08-14,"(Intercept)",152274.527747155
2017-08-21,"(Intercept)",152274.527747155
2017-08-28,"(Intercept)",152274.527747155
2017-09-04,"(Intercept)",152274.527747155
2017-09-11,"(Intercept)",152274.527747155
2017-09-18,"(Intercept)",152274.527747155
2017-09-25,"(Intercept)",152274.527747155
2017-10-02,"(Intercept)",152274.527747155
2017-10-09,"(Intercept)",152274.527747155
2017-10-16,"(Intercept)",152274.527747155
2017-10-23,"(Intercept)",152274.527747155
2017-10-30,"(Intercept)",152274.527747155
2017-11-06,"(Intercept)",152274.527747155
2017-11-13,"(Intercept)",152274.527747155
2017-11-20,"(Intercept)",152274.527747155
2017-11-27,"(Intercept)",152274.527747155
