"Period","variable","value"
2016-08-01,"CCI",22422.514655599
2016-08-08,"CCI",22422.514655599
2016-08-15,"CCI",22422.514655599
2016-08-22,"CCI",22422.514655599
2016-08-29,"CCI",22772.0861535705
2016-09-05,"CCI",22772.0861535705
2016-09-12,"CCI",22772.0861535705
2016-09-19,"CCI",22772.0861535705
2016-09-26,"CCI",21773.3104450806
2016-10-03,"CCI",21773.3104450806
2016-10-10,"CCI",21773.3104450806
2016-10-17,"CCI",21773.3104450806
2016-10-24,"CCI",21773.3104450806
2016-10-31,"CCI",23421.290364089
2016-11-07,"CCI",23421.290364089
2016-11-14,"CCI",23421.290364089
2016-11-21,"CCI",23421.290364089
2016-11-28,"CCI",24519.9436434279
2016-12-05,"CCI",24519.9436434279
2016-12-12,"CCI",24519.9436434279
2016-12-19,"CCI",24519.9436434279
2016-12-26,"CCI",24594.8518215646
2017-01-02,"CCI",24594.8518215646
2017-01-09,"CCI",24594.8518215646
2017-01-16,"CCI",24594.8518215646
2017-01-23,"CCI",24594.8518215646
2017-01-30,"CCI",24045.5251818952
2017-02-06,"CCI",24045.5251818952
2017-02-13,"CCI",24045.5251818952
2017-02-20,"CCI",24045.5251818952
2017-02-27,"CCI",24195.3415381687
2017-03-06,"CCI",24195.3415381687
2017-03-13,"CCI",24195.3415381687
2017-03-20,"CCI",24195.3415381687
2017-03-27,"CCI",24220.3109308809
2017-04-03,"CCI",24220.3109308809
2017-04-10,"CCI",24220.3109308809
2017-04-17,"CCI",24220.3109308809
2017-04-24,"CCI",24220.3109308809
2017-05-01,"CCI",24245.2803235932
2017-05-08,"CCI",24245.2803235932
2017-05-15,"CCI",24245.2803235932
2017-05-22,"CCI",24245.2803235932
2017-05-29,"CCI",23720.923076636
2017-06-05,"CCI",23720.923076636
2017-06-12,"CCI",23720.923076636
2017-06-19,"CCI",23720.923076636
2017-06-26,"CCI",23321.41279324
2017-07-03,"CCI",23321.41279324
2017-07-10,"CCI",23321.41279324
2017-07-17,"CCI",23321.41279324
2017-07-24,"CCI",23321.41279324
2017-07-31,"CCI",24170.3721454564
2017-08-07,"CCI",24170.3721454564
2017-08-14,"CCI",24170.3721454564
2017-08-21,"CCI",24170.3721454564
2017-08-28,"CCI",23745.8924693482
2017-09-04,"CCI",23745.8924693482
2017-09-11,"CCI",23745.8924693482
2017-09-18,"CCI",23745.8924693482
2017-09-25,"CCI",25144.1784612341
2017-10-02,"CCI",25144.1784612341
2017-10-09,"CCI",25144.1784612341
2017-10-16,"CCI",25144.1784612341
2017-10-23,"CCI",25144.1784612341
2017-10-30,"CCI",24594.8518215646
2017-11-06,"CCI",24594.8518215646
2017-11-13,"CCI",24594.8518215646
2017-11-20,"CCI",24594.8518215646
2017-11-27,"CCI",23945.6476110462
2017-12-04,"CCI",23945.6476110462
2017-12-11,"CCI",23945.6476110462
2017-12-18,"CCI",23945.6476110462
2017-12-25,"CCI",23945.6476110462
2014-01-06,"Sales.Event",0
2014-01-13,"Sales.Event",0
2014-01-20,"Sales.Event",0
2014-01-27,"Sales.Event",0
2014-02-03,"Sales.Event",0
2014-02-10,"Sales.Event",0
2014-02-17,"Sales.Event",0
2014-02-24,"Sales.Event",0
2014-03-03,"Sales.Event",0
2014-03-10,"Sales.Event",0
2014-03-17,"Sales.Event",0
2014-03-24,"Sales.Event",0
2014-03-31,"Sales.Event",0
2014-04-07,"Sales.Event",0
2014-04-14,"Sales.Event",0
2014-04-21,"Sales.Event",0
2014-04-28,"Sales.Event",0
2014-05-05,"Sales.Event",0
2014-05-12,"Sales.Event",0
2014-05-19,"Sales.Event",0
2014-05-26,"Sales.Event",0
2014-06-02,"Sales.Event",0
2014-06-09,"Sales.Event",0
2014-06-16,"Sales.Event",0
2014-06-23,"Sales.Event",0
2014-06-30,"Sales.Event",0
2014-07-07,"Sales.Event",28847.5334994766
2014-07-14,"Sales.Event",28847.5334994766
2014-07-21,"Sales.Event",28847.5334994766
2014-07-28,"Sales.Event",28847.5334994766
2014-08-04,"Sales.Event",28847.5334994766
2014-08-11,"Sales.Event",28847.5334994766
2014-08-18,"Sales.Event",28847.5334994766
2014-08-25,"Sales.Event",0
2014-09-01,"Sales.Event",0
2014-09-08,"Sales.Event",0
2014-09-15,"Sales.Event",0
2014-09-22,"Sales.Event",0
2014-09-29,"Sales.Event",0
2014-10-06,"Sales.Event",0
2014-10-13,"Sales.Event",0
2014-10-20,"Sales.Event",0
2014-10-27,"Sales.Event",0
2014-11-03,"Sales.Event",0
2014-11-10,"Sales.Event",0
2014-11-17,"Sales.Event",28847.5334994766
2014-11-24,"Sales.Event",28847.5334994766
2014-12-01,"Sales.Event",28847.5334994766
2014-12-08,"Sales.Event",28847.5334994766
2014-12-15,"Sales.Event",28847.5334994766
2014-12-22,"Sales.Event",0
2014-12-29,"Sales.Event",0
2015-01-05,"Sales.Event",0
2015-01-12,"Sales.Event",0
2015-01-19,"Sales.Event",0
2015-01-26,"Sales.Event",0
2015-02-02,"Sales.Event",0
2015-02-09,"Sales.Event",0
2015-02-16,"Sales.Event",0
2015-02-23,"Sales.Event",0
2015-03-02,"Sales.Event",0
2015-03-09,"Sales.Event",0
2015-03-16,"Sales.Event",0
2015-03-23,"Sales.Event",0
2015-03-30,"Sales.Event",0
2015-04-06,"Sales.Event",0
2015-04-13,"Sales.Event",0
2015-04-20,"Sales.Event",0
2015-04-27,"Sales.Event",0
2015-05-04,"Sales.Event",0
2015-05-11,"Sales.Event",0
2015-05-18,"Sales.Event",0
2015-05-25,"Sales.Event",0
2015-06-01,"Sales.Event",0
2015-06-08,"Sales.Event",0
2015-06-15,"Sales.Event",0
2015-06-22,"Sales.Event",0
2015-06-29,"Sales.Event",0
2015-07-06,"Sales.Event",28847.5334994766
2015-07-13,"Sales.Event",28847.5334994766
2015-07-20,"Sales.Event",28847.5334994766
2015-07-27,"Sales.Event",28847.5334994766
2015-08-03,"Sales.Event",28847.5334994766
2015-08-10,"Sales.Event",28847.5334994766
2015-08-17,"Sales.Event",28847.5334994766
2015-08-24,"Sales.Event",0
2015-08-31,"Sales.Event",0
2015-09-07,"Sales.Event",0
2015-09-14,"Sales.Event",0
2015-09-21,"Sales.Event",0
2015-09-28,"Sales.Event",0
2015-10-05,"Sales.Event",0
2015-10-12,"Sales.Event",0
2015-10-19,"Sales.Event",0
2015-10-26,"Sales.Event",0
2015-11-02,"Sales.Event",28847.5334994766
2015-11-09,"Sales.Event",28847.5334994766
2015-11-16,"Sales.Event",28847.5334994766
2015-11-23,"Sales.Event",28847.5334994766
2015-11-30,"Sales.Event",28847.5334994766
2015-12-07,"Sales.Event",28847.5334994766
2015-12-14,"Sales.Event",28847.5334994766
2015-12-21,"Sales.Event",0
2015-12-28,"Sales.Event",0
2016-01-04,"Sales.Event",0
2016-01-11,"Sales.Event",0
2016-01-18,"Sales.Event",0
2016-01-25,"Sales.Event",0
2016-02-01,"Sales.Event",0
2016-02-08,"Sales.Event",0
2016-02-15,"Sales.Event",0
2016-02-22,"Sales.Event",0
2016-02-29,"Sales.Event",0
2016-03-07,"Sales.Event",0
2016-03-14,"Sales.Event",0
2016-03-21,"Sales.Event",0
2016-03-28,"Sales.Event",0
2016-04-04,"Sales.Event",0
2016-04-11,"Sales.Event",0
2016-04-18,"Sales.Event",0
2016-04-25,"Sales.Event",0
2016-05-02,"Sales.Event",0
2016-05-09,"Sales.Event",0
2016-05-16,"Sales.Event",0
2016-05-23,"Sales.Event",0
2016-05-30,"Sales.Event",0
2016-06-06,"Sales.Event",0
2016-06-13,"Sales.Event",0
2016-06-20,"Sales.Event",0
2016-06-27,"Sales.Event",28847.5334994766
2016-07-04,"Sales.Event",28847.5334994766
2016-07-11,"Sales.Event",28847.5334994766
2016-07-18,"Sales.Event",28847.5334994766
2016-07-25,"Sales.Event",28847.5334994766
2016-08-01,"Sales.Event",28847.5334994766
2016-08-08,"Sales.Event",28847.5334994766
2016-08-15,"Sales.Event",0
2016-08-22,"Sales.Event",0
2016-08-29,"Sales.Event",0
2016-09-05,"Sales.Event",0
2016-09-12,"Sales.Event",0
2016-09-19,"Sales.Event",0
2016-09-26,"Sales.Event",0
2016-10-03,"Sales.Event",0
2016-10-10,"Sales.Event",0
2016-10-17,"Sales.Event",0
2016-10-24,"Sales.Event",0
2016-10-31,"Sales.Event",0
2016-11-07,"Sales.Event",28847.5334994766
2016-11-14,"Sales.Event",28847.5334994766
2016-11-21,"Sales.Event",28847.5334994766
2016-11-28,"Sales.Event",28847.5334994766
2016-12-05,"Sales.Event",28847.5334994766
2016-12-12,"Sales.Event",0
2016-12-19,"Sales.Event",0
2016-12-26,"Sales.Event",0
2017-01-02,"Sales.Event",0
2017-01-09,"Sales.Event",0
2017-01-16,"Sales.Event",0
2017-01-23,"Sales.Event",0
2017-01-30,"Sales.Event",0
2017-02-06,"Sales.Event",0
2017-02-13,"Sales.Event",0
2017-02-20,"Sales.Event",0
2017-02-27,"Sales.Event",0
2017-03-06,"Sales.Event",0
2017-03-13,"Sales.Event",0
2017-03-20,"Sales.Event",0
2017-03-27,"Sales.Event",0
2017-04-03,"Sales.Event",0
2017-04-10,"Sales.Event",0
2017-04-17,"Sales.Event",0
2017-04-24,"Sales.Event",0
2017-05-01,"Sales.Event",0
2017-05-08,"Sales.Event",0
2017-05-15,"Sales.Event",0
2017-05-22,"Sales.Event",0
2017-05-29,"Sales.Event",0
2017-06-05,"Sales.Event",0
2017-06-12,"Sales.Event",0
2017-06-19,"Sales.Event",0
2017-06-26,"Sales.Event",0
2017-07-03,"Sales.Event",28847.5334994766
2017-07-10,"Sales.Event",28847.5334994766
2017-07-17,"Sales.Event",28847.5334994766
2017-07-24,"Sales.Event",28847.5334994766
2017-07-31,"Sales.Event",28847.5334994766
2017-08-07,"Sales.Event",28847.5334994766
2017-08-14,"Sales.Event",28847.5334994766
2017-08-21,"Sales.Event",0
2017-08-28,"Sales.Event",0
2017-09-04,"Sales.Event",0
2017-09-11,"Sales.Event",0
2017-09-18,"Sales.Event",0
2017-09-25,"Sales.Event",0
2017-10-02,"Sales.Event",0
2017-10-09,"Sales.Event",0
2017-10-16,"Sales.Event",0
2017-10-23,"Sales.Event",0
2017-10-30,"Sales.Event",0
2017-11-06,"Sales.Event",28847.5334994766
2017-11-13,"Sales.Event",28847.5334994766
2017-11-20,"Sales.Event",28847.5334994766
2017-11-27,"Sales.Event",28847.5334994766
2017-12-04,"Sales.Event",28847.5334994766
2017-12-11,"Sales.Event",28847.5334994766
2017-12-18,"Sales.Event",28847.5334994766
2017-12-25,"Sales.Event",0
2014-01-06,"NationalTV2",0
2014-01-13,"NationalTV2",15459.5813666837
2014-01-20,"NationalTV2",17391.0232654539
2014-01-27,"NationalTV2",18937.7860170276
2014-02-03,"NationalTV2",19019.7844488504
2014-02-10,"NationalTV2",16876.028906526
2014-02-17,"NationalTV2",17674.3127706754
2014-02-24,"NationalTV2",17473.4534752923
2014-03-03,"NationalTV2",19623.3779754526
2014-03-10,"NationalTV2",17248.1472512092
2014-03-17,"NationalTV2",18681.8566956867
2014-03-24,"NationalTV2",17059.8429897621
2014-03-31,"NationalTV2",19430.4362859901
2014-04-07,"NationalTV2",18772.9729271545
2014-04-14,"NationalTV2",17814.041682601
2014-04-21,"NationalTV2",17010.8000283719
2014-04-28,"NationalTV2",17461.6070973506
2014-05-05,"NationalTV2",16181.1235524793
2014-05-12,"NationalTV2",15401.642599734
2014-05-19,"NationalTV2",15245.7463981972
2014-05-26,"NationalTV2",15608.4718232993
2014-06-02,"NationalTV2",15287.1122484041
2014-06-09,"NationalTV2",15746.2245717022
2014-06-16,"NationalTV2",15314.6627953378
2014-06-23,"NationalTV2",14960.9592741493
2014-06-30,"NationalTV2",15024.4093536462
2014-07-07,"NationalTV2",16576.6296326504
2014-07-14,"NationalTV2",17010.0819503679
2014-07-21,"NationalTV2",16725.4880461922
2014-07-28,"NationalTV2",17039.8536330762
2014-08-04,"NationalTV2",15705.6237172618
2014-08-11,"NationalTV2",16086.2816578523
2014-08-18,"NationalTV2",15906.0584590857
2014-08-25,"NationalTV2",15740.5342409709
2014-09-01,"NationalTV2",16093.2637516063
2014-09-08,"NationalTV2",18105.5384175308
2014-09-15,"NationalTV2",19859.5146623304
2014-09-22,"NationalTV2",19990.3706232506
2014-09-29,"NationalTV2",20345.7087944472
2014-10-06,"NationalTV2",19301.3689960935
2014-10-13,"NationalTV2",17432.0215611399
2014-10-20,"NationalTV2",17424.9952416261
2014-10-27,"NationalTV2",15383.0257661539
2014-11-03,"NationalTV2",15374.2581466243
2014-11-10,"NationalTV2",14003.4412211721
2014-11-17,"NationalTV2",13441.6534674743
2014-11-24,"NationalTV2",13183.5251891652
2014-12-01,"NationalTV2",13565.2946302297
2014-12-08,"NationalTV2",11503.2720497979
2014-12-15,"NationalTV2",14729.601276759
2014-12-22,"NationalTV2",16269.3919059766
2014-12-29,"NationalTV2",16577.3500318201
2015-01-05,"NationalTV2",16763.4616982157
2015-01-12,"NationalTV2",16297.8492458022
2015-01-19,"NationalTV2",16707.5615327713
2015-01-26,"NationalTV2",17158.5443785431
2015-02-02,"NationalTV2",16503.7808924646
2015-02-09,"NationalTV2",16372.8281842611
2015-02-16,"NationalTV2",14485.8188213016
2015-02-23,"NationalTV2",15456.4863051732
2015-03-02,"NationalTV2",14854.1165273197
2015-03-09,"NationalTV2",15530.1458463769
2015-03-16,"NationalTV2",15923.4359687582
2015-03-23,"NationalTV2",17602.6245446426
2015-03-30,"NationalTV2",15418.5516185164
2015-04-06,"NationalTV2",17143.1574263673
2015-04-13,"NationalTV2",15055.199149055
2015-04-20,"NationalTV2",17310.1468219282
2015-04-27,"NationalTV2",16660.2002627641
2015-05-04,"NationalTV2",12447.8816116224
2015-05-11,"NationalTV2",13418.1659149958
2015-05-18,"NationalTV2",12733.155356375
2015-05-25,"NationalTV2",13332.047703941
2015-06-01,"NationalTV2",16483.4416028881
2015-06-08,"NationalTV2",16368.7603345866
2015-06-15,"NationalTV2",16345.8240726855
2015-06-22,"NationalTV2",14480.4180044803
2015-06-29,"NationalTV2",10106.2638108144
2015-07-06,"NationalTV2",12369.314049427
2015-07-13,"NationalTV2",12821.9240968748
2015-07-20,"NationalTV2",14053.627967841
2015-07-27,"NationalTV2",16258.717277179
2015-08-03,"NationalTV2",16449.9143565612
2015-08-10,"NationalTV2",16984.7389006439
2015-08-17,"NationalTV2",16214.3545823586
2015-08-24,"NationalTV2",16314.9429277338
2015-08-31,"NationalTV2",16586.4602361715
2015-09-07,"NationalTV2",16262.4489561403
2015-09-14,"NationalTV2",15941.2919132494
2015-09-21,"NationalTV2",16386.4292810283
2015-09-28,"NationalTV2",17576.3928455759
2015-10-05,"NationalTV2",17933.2159172592
2015-10-12,"NationalTV2",17646.090280622
2015-10-19,"NationalTV2",18065.3363915415
2015-10-26,"NationalTV2",17672.5143754785
2015-11-02,"NationalTV2",13279.451995245
2015-11-09,"NationalTV2",12089.7827970798
2015-11-16,"NationalTV2",11851.8489566227
2015-11-23,"NationalTV2",12268.3864897273
2015-11-30,"NationalTV2",12801.7385852095
2015-12-07,"NationalTV2",12908.4090040313
2015-12-14,"NationalTV2",12781.2017561951
2015-12-21,"NationalTV2",12605.7625237907
2015-12-28,"NationalTV2",11955.0449022396
2016-01-04,"NationalTV2",14556.4268674885
2016-01-11,"NationalTV2",15728.6921757275
2016-01-18,"NationalTV2",16469.210096758
2016-01-25,"NationalTV2",16238.9989337515
2016-02-01,"NationalTV2",16319.8717925185
2016-02-08,"NationalTV2",16336.0463752596
2016-02-15,"NationalTV2",16961.9652988897
2016-02-22,"NationalTV2",16337.549968684
2016-02-29,"NationalTV2",16465.6808948622
2016-03-07,"NationalTV2",15325.3536860296
2016-03-14,"NationalTV2",17364.177734817
2016-03-21,"NationalTV2",17411.4264763615
2016-03-28,"NationalTV2",19167.0132118178
2016-04-04,"NationalTV2",17771.9935607739
2016-04-11,"NationalTV2",17613.8458148188
2016-04-18,"NationalTV2",16467.9260663759
2016-04-25,"NationalTV2",18064.1660296029
2016-05-02,"NationalTV2",17792.4478098564
2016-05-09,"NationalTV2",15856.142547124
2016-05-16,"NationalTV2",13519.2897972383
2016-05-23,"NationalTV2",13632.4475526684
2016-05-30,"NationalTV2",13655.079103205
2016-06-06,"NationalTV2",13659.6054133123
2016-06-13,"NationalTV2",12476.870201713
2016-06-20,"NationalTV2",12240.3231602172
2016-06-27,"NationalTV2",12193.0137524674
2016-07-04,"NationalTV2",11872.4951482496
2016-07-11,"NationalTV2",11328.5132938874
2016-07-18,"NationalTV2",11219.7169221909
2016-07-25,"NationalTV2",12884.9086082274
2016-08-01,"NationalTV2",15900.453379687
2016-08-08,"NationalTV2",16378.2615798097
2016-08-15,"NationalTV2",17214.2432343723
2016-08-22,"NationalTV2",16766.3203029931
2016-08-29,"NationalTV2",16551.4349589771
2016-09-05,"NationalTV2",16882.0347509697
2016-09-12,"NationalTV2",18146.9877747624
2016-09-19,"NationalTV2",16318.1996879616
2016-09-26,"NationalTV2",15295.8574391556
2016-10-03,"NationalTV2",14957.1982029129
2016-10-10,"NationalTV2",15289.0926284822
2016-10-17,"NationalTV2",16629.5662876176
2016-10-24,"NationalTV2",16271.0701636826
2016-10-31,"NationalTV2",16199.3709498834
2016-11-07,"NationalTV2",13735.0686801531
2016-11-14,"NationalTV2",11033.0764640431
2016-11-21,"NationalTV2",10492.6780210959
2016-11-28,"NationalTV2",10384.598331957
2016-12-05,"NationalTV2",10533.2545005499
2016-12-12,"NationalTV2",10562.9857331697
2016-12-19,"NationalTV2",10568.9319799684
2016-12-26,"NationalTV2",12163.3085690948
2017-01-02,"NationalTV2",13921.9048661308
2017-01-09,"NationalTV2",16107.8526348387
2017-01-16,"NationalTV2",18108.4561914303
2017-01-23,"NationalTV2",18624.2791240882
2017-01-30,"NationalTV2",18842.5540841626
2017-02-06,"NationalTV2",17948.1254235153
2017-02-13,"NationalTV2",17888.7320823141
2017-02-20,"NationalTV2",14928.5619547807
2017-02-27,"NationalTV2",15414.6592572061
2017-03-06,"NationalTV2",14153.4546961879
2017-03-13,"NationalTV2",16890.1380364077
2017-03-20,"NationalTV2",15675.6805979281
2017-03-27,"NationalTV2",16333.3070152171
2017-04-03,"NationalTV2",15955.4635360526
2017-04-10,"NationalTV2",16008.4995066934
2017-04-17,"NationalTV2",16019.1066980746
2017-04-24,"NationalTV2",14132.4109259683
2017-05-01,"NationalTV2",13755.0717852817
2017-05-08,"NationalTV2",13679.6039489036
2017-05-15,"NationalTV2",12169.8131880862
2017-05-22,"NationalTV2",11867.8550350987
2017-05-29,"NationalTV2",11807.4634045012
2017-06-05,"NationalTV2",11795.385078931
2017-06-12,"NationalTV2",11792.9694143664
2017-06-19,"NationalTV2",11792.4862809041
2017-06-26,"NationalTV2",12103.4463757807
2017-07-03,"NationalTV2",11854.5816731869
2017-07-10,"NationalTV2",12866.1108308571
2017-07-17,"NationalTV2",15002.1690293998
2017-07-24,"NationalTV2",16695.1898297177
2017-07-31,"NationalTV2",14124.4546019059
2017-08-07,"NationalTV2",16641.92299237
2017-08-14,"NationalTV2",13226.4012968768
2017-08-21,"NationalTV2",12993.3415458154
2017-08-28,"NationalTV2",13669.191159953
2017-09-04,"NationalTV2",13519.2548643819
2017-09-11,"NationalTV2",14736.0684700445
2017-09-18,"NationalTV2",17246.3206861261
2017-09-25,"NationalTV2",17748.3711265954
2017-10-02,"NationalTV2",19346.1706521819
2017-10-09,"NationalTV2",19101.4613786282
2017-10-16,"NationalTV2",16249.2391337348
2017-10-23,"NationalTV2",13597.9091145604
2017-10-30,"NationalTV2",11343.9330376786
2017-11-06,"NationalTV2",12318.3087800874
2017-11-13,"NationalTV2",14361.688472198
2017-11-20,"NationalTV2",14770.3644067744
2017-11-27,"NationalTV2",15513.3954360025
2017-12-04,"NationalTV2",14865.4983562325
2017-12-11,"NationalTV2",17391.0370138966
2017-12-18,"NationalTV2",17295.2394720213
2017-12-25,"NationalTV2",16147.8500274134
2014-01-06,"PaidSearch1",15680.9798602748
2014-01-13,"PaidSearch1",15533.8354668215
2014-01-20,"PaidSearch1",16044.6367183808
2014-01-27,"PaidSearch1",20716.754726481
2014-02-03,"PaidSearch1",21899.1248381676
2014-02-10,"PaidSearch1",19090.273481231
2014-02-17,"PaidSearch1",18891.0109921603
2014-02-24,"PaidSearch1",18845.4166318011
2014-03-03,"PaidSearch1",19693.3496273007
2014-03-10,"PaidSearch1",20161.2686580421
2014-03-17,"PaidSearch1",19303.6971570554
2014-03-24,"PaidSearch1",17658.4077813896
2014-03-31,"PaidSearch1",16199.5351555404
2014-04-07,"PaidSearch1",23884.9011882968
2014-04-14,"PaidSearch1",16722.3316524942
2014-04-21,"PaidSearch1",17022.0068807056
2014-04-28,"PaidSearch1",18479.9089472951
2014-05-05,"PaidSearch1",21095.1853760386
2014-05-12,"PaidSearch1",17627.4961695487
2014-05-19,"PaidSearch1",16638.3924825794
2014-05-26,"PaidSearch1",19166.1855164507
2014-06-02,"PaidSearch1",17443.200830807
2014-06-09,"PaidSearch1",19733.1937365254
2014-06-16,"PaidSearch1",17189.8911514245
2014-06-23,"PaidSearch1",16573.6794087362
2014-06-30,"PaidSearch1",16304.6229479501
2014-07-07,"PaidSearch1",19555.3601233787
2014-07-14,"PaidSearch1",20867.7810868961
2014-07-21,"PaidSearch1",22799.6314788459
2014-07-28,"PaidSearch1",22285.6794882121
2014-08-04,"PaidSearch1",23385.7518819445
2014-08-11,"PaidSearch1",19920.0161851035
2014-08-18,"PaidSearch1",22415.6025936549
2014-08-25,"PaidSearch1",19748.4276148307
2014-09-01,"PaidSearch1",17645.3220301691
2014-09-08,"PaidSearch1",21122.7607113553
2014-09-15,"PaidSearch1",20482.3309056549
2014-09-22,"PaidSearch1",19077.0804824616
2014-09-29,"PaidSearch1",22456.0521559403
2014-10-06,"PaidSearch1",19688.253680742
2014-10-13,"PaidSearch1",18154.3197349958
2014-10-20,"PaidSearch1",17080.7148264137
2014-10-27,"PaidSearch1",21805.8138367266
2014-11-03,"PaidSearch1",19793.8644501195
2014-11-10,"PaidSearch1",21686.9540600258
2014-11-17,"PaidSearch1",17556.3393086202
2014-11-24,"PaidSearch1",18108.8946858642
2014-12-01,"PaidSearch1",15966.075115043
2014-12-08,"PaidSearch1",16584.4025215692
2014-12-15,"PaidSearch1",21948.8879007639
2014-12-22,"PaidSearch1",14936.0920653614
2014-12-29,"PaidSearch1",14845.8885474738
2015-01-05,"PaidSearch1",15919.6444182569
2015-01-12,"PaidSearch1",18157.9107804898
2015-01-19,"PaidSearch1",16418.2727354077
2015-01-26,"PaidSearch1",20493.6939495695
2015-02-02,"PaidSearch1",19443.5498514993
2015-02-09,"PaidSearch1",18277.3923823148
2015-02-16,"PaidSearch1",21939.4337659939
2015-02-23,"PaidSearch1",19867.9937561364
2015-03-02,"PaidSearch1",19588.901258228
2015-03-09,"PaidSearch1",19575.8192340691
2015-03-16,"PaidSearch1",19234.2627117496
2015-03-23,"PaidSearch1",20661.147631237
2015-03-30,"PaidSearch1",18465.4128327387
2015-04-06,"PaidSearch1",18585.9904445575
2015-04-13,"PaidSearch1",19920.1017886874
2015-04-20,"PaidSearch1",20829.9246790597
2015-04-27,"PaidSearch1",17944.1352484407
2015-05-04,"PaidSearch1",19468.2208335234
2015-05-11,"PaidSearch1",19182.4727866102
2015-05-18,"PaidSearch1",20656.8436852763
2015-05-25,"PaidSearch1",21988.173804186
2015-06-01,"PaidSearch1",19209.337355068
2015-06-08,"PaidSearch1",19680.350030621
2015-06-15,"PaidSearch1",23609.1697869824
2015-06-22,"PaidSearch1",20146.4389066507
2015-06-29,"PaidSearch1",20333.3138851918
2015-07-06,"PaidSearch1",16448.2122053381
2015-07-13,"PaidSearch1",19335.8864434364
2015-07-20,"PaidSearch1",19619.7924846621
2015-07-27,"PaidSearch1",19224.4161822076
2015-08-03,"PaidSearch1",15836.5025802587
2015-08-10,"PaidSearch1",21264.4316447168
2015-08-17,"PaidSearch1",19962.3290405401
2015-08-24,"PaidSearch1",19705.6255474442
2015-08-31,"PaidSearch1",19038.835779621
2015-09-07,"PaidSearch1",17236.4966095906
2015-09-14,"PaidSearch1",17596.0222359329
2015-09-21,"PaidSearch1",17056.0951644079
2015-09-28,"PaidSearch1",18793.8144209313
2015-10-05,"PaidSearch1",19213.6210236527
2015-10-12,"PaidSearch1",19415.8815394986
2015-10-19,"PaidSearch1",18326.0103889468
2015-10-26,"PaidSearch1",19860.7546789161
2015-11-02,"PaidSearch1",19106.6571904608
2015-11-09,"PaidSearch1",18421.1436588532
2015-11-16,"PaidSearch1",18466.3000948715
2015-11-23,"PaidSearch1",19881.7354323943
2015-11-30,"PaidSearch1",17983.296084638
2015-12-07,"PaidSearch1",21627.7235262608
2015-12-14,"PaidSearch1",17219.307341901
2015-12-21,"PaidSearch1",17492.2628439123
2015-12-28,"PaidSearch1",15104.6169099451
2016-01-04,"PaidSearch1",17311.3719113012
2016-01-11,"PaidSearch1",17710.0227074813
2016-01-18,"PaidSearch1",18622.1174417786
2016-01-25,"PaidSearch1",17942.2140615988
2016-02-01,"PaidSearch1",19945.5139266265
2016-02-08,"PaidSearch1",20837.8620293801
2016-02-15,"PaidSearch1",19314.2352239788
2016-02-22,"PaidSearch1",23531.1879253815
2016-02-29,"PaidSearch1",24643.7345783535
2016-03-07,"PaidSearch1",17145.9012262819
2016-03-14,"PaidSearch1",17305.9746615176
2016-03-21,"PaidSearch1",20493.9869398265
2016-03-28,"PaidSearch1",22974.4028895373
2016-04-04,"PaidSearch1",18584.2459150357
2016-04-11,"PaidSearch1",17363.9570779618
2016-04-18,"PaidSearch1",21779.0099599566
2016-04-25,"PaidSearch1",17553.6831236172
2016-05-02,"PaidSearch1",19622.8531908913
2016-05-09,"PaidSearch1",18188.6639327942
2016-05-16,"PaidSearch1",14394.0533811526
2016-05-23,"PaidSearch1",14027.4749982627
2016-05-30,"PaidSearch1",21267.3378453357
2016-06-06,"PaidSearch1",18759.5241628975
2016-06-13,"PaidSearch1",15356.6209294159
2016-06-20,"PaidSearch1",18642.9236229307
2016-06-27,"PaidSearch1",18118.2836402678
2016-07-04,"PaidSearch1",17006.9128212271
2016-07-11,"PaidSearch1",16315.6666961147
2016-07-18,"PaidSearch1",20829.904234236
2016-07-25,"PaidSearch1",18415.9792045804
2016-08-01,"PaidSearch1",19486.0910785865
2016-08-08,"PaidSearch1",23432.7697799923
2016-08-15,"PaidSearch1",16893.7418153485
2016-08-22,"PaidSearch1",16997.4372207427
2016-08-29,"PaidSearch1",18237.8343277716
2016-09-05,"PaidSearch1",14926.4306681536
2016-09-12,"PaidSearch1",24118.1110349276
2016-09-19,"PaidSearch1",19374.883964114
2016-09-26,"PaidSearch1",20313.1824318331
2016-10-03,"PaidSearch1",19517.6219444192
2016-10-10,"PaidSearch1",19207.4904123742
2016-10-17,"PaidSearch1",16366.4996522656
2016-10-24,"PaidSearch1",16968.9226983025
2016-10-31,"PaidSearch1",18021.665309148
2016-11-07,"PaidSearch1",18090.5278017355
2016-11-14,"PaidSearch1",20156.4049452343
2016-11-21,"PaidSearch1",22649.9338861247
2016-11-28,"PaidSearch1",19909.6323861227
2016-12-05,"PaidSearch1",18690.4518151336
2016-12-12,"PaidSearch1",19106.5432071931
2016-12-19,"PaidSearch1",21494.2566279837
2016-12-26,"PaidSearch1",17943.0438081486
2017-01-02,"PaidSearch1",21185.4444649553
2017-01-09,"PaidSearch1",18278.322089738
2017-01-16,"PaidSearch1",21513.9125028759
2017-01-23,"PaidSearch1",17388.0405454348
2017-01-30,"PaidSearch1",23707.0614173961
2017-02-06,"PaidSearch1",17025.8852070303
2017-02-13,"PaidSearch1",24376.232810015
2017-02-20,"PaidSearch1",20258.7791612934
