DMA Code,DMA Name,TOTAL HH
547,Toledo,427800
605,Topeka,185500
540,Traverse City-Cadillac,256700
531,"Tri-Cities, TN-VA",331800
789,Tucson (Sierra Vista),466500
671,Tulsa,555300
760,Twin Falls,69700
709,Tyler-Longview(Lfkn&Ncgd),282900
526,Utica,108500
626,Victoria,34800
625,Waco-Temple-Bryan,379600
511,"Washington, DC (Hagrstwn)",2580800
549,Watertown,97000
705,Wausau-Rhinelander,188600
548,West Palm Beach-Ft. Pierce,842800
554,Wheeling-Steubenville,139100
627,Wichita Falls & Lawton,164200
678,Wichita-Hutchinson Plus,478100
577,Wilkes Barre-Scranton-Hztn,603400
550,Wilmington,207200
810,Yakima-Pasco-Rchlnd-Knnwck,252900
536,Youngstown,269200
771,Yuma-El Centro,118200
596,Zanesville,34600
